=== EFFECTIVE RECORD OFFSET ACCESS MAP ===
offset=0x40 count=26
  ref=0x0208dc3c literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208dc4c ldr r0, [r1, r0] disp=+0x0
  ref=0x0208e9d0 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x0208e9d8 ldr r2, [r3, r2] disp=+0x0
  ref=0x0208f040 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208f048 ldr r0, [r0, r1] disp=+0x0
  ref=0x0208f0ac literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x0208f0b4 ldr r2, [r3, r2] disp=+0x0
  ref=0x0208f4dc literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208f4ec ldr r0, [r1, r3] disp=+0x0
  ref=0x0208f540 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208f550 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208fae8 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208faf0 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208fbb0 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208fbb8 ldr r1, [r1, r2] disp=+0x0
  ref=0x0208fddc literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208fde0 ldr r0, [r0, r1] disp=+0x0
  ref=0x0208fea4 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208fea8 ldr r0, [r0, r1] disp=+0x0
  ref=0x020901dc literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x020901ec ldr r0, [r1, r0] disp=+0x0
  ref=0x02091388 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02091390 ldr r0, [r1, r0] disp=+0x0
  ref=0x020928c8 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x020928d0 ldr r1, [r2, r1] disp=+0x0
  ref=0x02092a34 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x02092a3c ldr r1, [r1, r2] disp=+0x0
  ref=0x0209449c literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x020944a4 ldr r1, [r1, r5] disp=+0x0
  ref=0x020944cc literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x020944d4 ldr r0, [r0, r5] disp=+0x0
  ref=0x020945ec literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x020945f4 ldr r1, [r1, r3] disp=+0x0
  ref=0x02094684 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x02094688 ldr r0, [r0, r5] disp=+0x0
